ym,local,bill,rsn,cnt,amt
﻿201808,1,1,1,2,60000
﻿201808,1,1,2,3,90000
﻿201808,1,1,3,2,21000
﻿201808,1,1,4,1,35000
﻿201808,1,1,6,3,27000
﻿201808,1,2,1,5,388000
﻿201808,1,2,2,18,594000
﻿201808,1,2,3,1,33000
﻿201808,1,2,4,5,151000
﻿201808,1,2,5,3,100000
﻿201808,1,2,6,8,730000
﻿201808,1,3,1,28,118000
﻿201808,1,3,2,34,147000
﻿201808,1,3,4,2,9000
﻿201808,1,3,6,6,22000
﻿201808,1,4,4,137,400000
﻿201808,1,4,6,10,24000
﻿201808,1,6,1,34,1460000
﻿201808,1,6,4,20,2000
﻿201808,1,6,6,21,257000
﻿201808,1,7,1,27,1130000
﻿201808,1,7,2,159,5940000
﻿201808,1,7,4,14,437000
﻿201808,1,7,6,23,701000
﻿201808,6,1,1,4,70000
﻿201808,6,1,2,3,75000
﻿201808,6,1,4,1,20000
﻿201808,6,1,6,1,7000
﻿201808,6,2,1,1,18000
﻿201808,6,2,2,3,205000
﻿201808,6,3,1,14,53000
﻿201808,6,3,2,13,48000
﻿201808,6,3,4,1,5000
﻿201808,6,3,6,2,4000
﻿201808,6,4,4,3,1000
﻿201808,6,6,1,1,18000
﻿201808,6,7,2,97,2820000
﻿201808,6,7,6,1,73000
﻿201808,11,1,2,2,262000
﻿201808,11,1,4,1,65000
﻿201808,11,1,5,1,84000
﻿201808,11,1,6,1,9000
﻿201808,11,2,1,1,10000
﻿201808,11,3,2,1,5000
﻿201808,11,4,4,11,9000
﻿201808,11,7,1,25,5000000
﻿201808,11,7,2,47,2380000
﻿201808,12,2,2,1,42000
﻿201808,12,3,1,1,3000
﻿201808,12,3,2,8,22000
﻿201808,12,7,1,5,200000
﻿201808,12,7,2,24,714000
﻿201808,12,7,6,2,578000
﻿201808,13,1,2,1,9990000
﻿201808,13,7,6,15,705000
﻿201808,14,1,6,1,13000
﻿201808,14,3,4,1,5000
﻿201808,14,6,6,1,18000
﻿201808,14,7,1,5,325000
﻿201808,14,7,2,28,545000
﻿201808,15,2,2,1,289000
﻿201808,15,3,1,6,18000
﻿201808,15,3,2,6,30000
﻿201808,15,4,4,3,3000
﻿201808,15,7,2,24,243000
﻿201808,15,7,6,26,744000
﻿201808,16,2,2,3,124000
﻿201808,16,3,2,3,9000
﻿201808,16,7,2,10,399000
﻿201808,17,7,2,65,2820000
﻿201808,18,1,2,1,35000
﻿201808,18,7,2,3,44000
﻿201808,19,3,2,3,15000
﻿201808,20,7,6,3,15000
﻿201808,22,2,6,3,63000
﻿201808,29,3,4,1,3000
﻿201808,29,7,2,42,983000
﻿201808,2B,4,4,2,2000
﻿201808,2D,1,2,1,9000
﻿201808,2J,2,2,1,11000
﻿201808,2J,7,2,8,75000
﻿201808,38,1,2,2,53000
﻿201808,38,1,4,4,125000
﻿201808,38,3,2,2,10000
﻿201808,38,3,4,2,6000
﻿201808,38,7,2,3,561000
﻿201808,38,7,6,136,7050000
﻿201808,39,1,2,2,35000
﻿201808,39,2,2,1,20000
﻿201808,39,7,1,16,414000
﻿201808,39,7,2,4,148000
﻿201808,3A,4,4,1,1000
﻿201808,3E,4,4,1,1000
﻿201808,3H,1,1,1,35000
﻿201808,3T,7,2,4,54000
﻿201808,40,1,2,1,30000
﻿201808,47,1,2,24,769000
﻿201808,47,2,2,18,204000
﻿201808,47,3,1,6,18000
﻿201808,47,3,2,6,20000
﻿201808,47,3,4,7,19000
﻿201808,47,3,6,1,5000
﻿201808,47,4,4,1,1000
﻿201808,47,6,6,1,18000
﻿201808,47,7,1,17,714000
﻿201808,47,7,2,8,104000
﻿201808,47,7,4,1,146000
﻿201808,47,7,6,6,470000
﻿201808,48,7,1,12,266000
﻿201808,49,7,2,2,44000
﻿201808,4A,3,2,7,23000
﻿201808,4A,4,4,1,1000
﻿201808,4A,7,2,5,150000
﻿201808,4B,2,4,1,10000
﻿201808,4B,7,2,25,383000
﻿201808,4C,7,1,32,1330000
﻿201808,4C,7,2,20,591000
﻿201808,4D,2,2,2,55000
﻿201808,4D,7,2,50,1600000
﻿201808,4E,2,4,1,30000
﻿201808,4F,1,1,1,23000
﻿201808,4F,3,1,1,3000
﻿201808,4F,3,2,3,9000
﻿201808,4F,4,4,60,6000
﻿201808,4F,6,2,1,11000
﻿201808,4F,7,6,2,229000
﻿201808,4G,3,6,1,6000
﻿201808,4G,6,1,1,2000
﻿201808,4H,2,2,1,15000
﻿201808,4H,7,2,44,2500000
﻿201808,4J,1,2,2,330000
﻿201808,4J,4,4,4,4000
﻿201808,4J,6,6,1,10000
﻿201808,4J,7,2,106,1890000
﻿201808,4J,7,4,4,300000
﻿201808,4K,4,4,1,1000
﻿201808,4L,3,2,7,21000
﻿201808,4M,4,4,1,1000
﻿201808,4N,7,6,2,23000
﻿201808,4R,2,1,1,100000
﻿201808,4R,7,1,30,2330000
﻿201808,4R,7,2,94,10100000
﻿201808,4S,4,4,1,1000
﻿201808,4S,6,6,1,28000
﻿201808,4S,7,4,4,20000
﻿201808,4Y,3,2,10,44000
﻿201808,4Y,7,4,3,25000
﻿201808,51,1,6,1,5000
﻿201808,51,7,2,1,77000
﻿201808,56,1,2,1,15000
﻿201808,56,2,6,13,798000
﻿201808,56,3,2,1,5000
﻿201808,56,7,1,1,26000
﻿201808,56,7,2,91,3700000
﻿201808,57,2,2,1,10000
﻿201808,57,6,2,1,11000
﻿201808,57,7,1,3,473000
﻿201808,57,7,2,6,417000
﻿201808,57,7,4,1,86000
﻿201808,58,7,1,26,984000
﻿201808,58,7,2,51,3990000
﻿201808,59,1,2,1,10000
﻿201808,5E,1,2,1,40000
