,ym,local,bill,rsn,cnt,amt,kospi,usd,cny,jpy,call,cd,bond,unemp,p_pi,c_pi,exp_pi,imp_pi,house_pi,bk_rate,coloan,peloan,chkloan
0,201808,1,1,1,2,60000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
1,201808,1,1,2,3,90000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
2,201808,1,1,3,2,21000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
3,201808,1,1,4,1,35000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
4,201808,1,1,6,3,27000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
5,201808,1,2,1,5,388000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
6,201808,1,2,2,18,594000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
7,201808,1,2,3,1,33000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
8,201808,1,2,4,5,151000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
9,201808,1,2,5,3,100000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
10,201808,1,2,6,8,730000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
11,201808,1,3,1,28,118000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
12,201808,1,3,2,34,147000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
13,201808,1,3,4,2,9000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
14,201808,1,3,6,6,22000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
15,201808,1,4,4,137,400000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
16,201808,1,4,6,10,24000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
17,201808,1,6,1,34,1460000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
18,201808,1,6,4,20,2000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
19,201808,1,6,6,21,257000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
20,201808,1,7,1,27,1130000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
21,201808,1,7,2,159,5940000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
22,201808,1,7,4,14,437000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
23,201808,1,7,6,23,701000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
24,201808,6,1,1,4,70000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
25,201808,6,1,2,3,75000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
26,201808,6,1,4,1,20000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
27,201808,6,1,6,1,7000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
28,201808,6,2,1,1,18000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
29,201808,6,2,2,3,205000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
30,201808,6,3,1,14,53000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
31,201808,6,3,2,13,48000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
32,201808,6,3,4,1,5000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
33,201808,6,3,6,2,4000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
34,201808,6,4,4,3,1000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
35,201808,6,6,1,1,18000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
36,201808,6,7,2,97,2820000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
37,201808,6,7,6,1,73000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
38,201808,11,1,2,2,262000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
39,201808,11,1,4,1,65000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
40,201808,11,1,5,1,84000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
41,201808,11,1,6,1,9000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
42,201808,11,2,1,1,10000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
43,201808,11,3,2,1,5000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
44,201808,11,4,4,11,9000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
45,201808,11,7,1,25,5000000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
46,201808,11,7,2,47,2380000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
47,201808,12,2,2,1,42000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
48,201808,12,3,1,1,3000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
49,201808,12,3,2,8,22000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
50,201808,12,7,1,5,200000,2322.88,1108.8,162.29,998.65,3.425,3.61,3.452,4.0,104.32,99.462,106.09,111.18,78.46,0.07,5.24,4.95,5.11
